draw,main1,main2,main3,main4,main5,main6,winner_count_1st
868,12,17,28,41,43,44,6
869,2,6,20,27,37,39,10
870,21,25,30,32,40,42,10
871,2,6,12,26,30,34,7
872,2,4,30,32,33,43,16
873,3,5,12,13,33,39,10
874,1,15,19,23,28,42,18
875,19,22,30,34,39,44,14
876,5,16,21,26,34,42,19
877,5,17,18,22,23,43,12
878,2,6,11,16,25,31,6
879,1,4,10,14,15,35,6
880,7,17,19,23,24,45,7
881,4,18,20,26,27,32,8
882,18,34,39,43,44,45,5
883,9,18,32,33,37,44,15
884,4,14,23,28,37,45,12
885,1,3,24,27,39,45,13
886,19,23,28,37,42,45,7
887,8,14,17,27,36,45,8
888,3,7,12,31,34,38,8
889,3,13,29,38,39,42,10
890,1,4,14,18,29,37,9
891,9,13,28,31,39,41,7
892,4,9,17,18,26,42,17
893,1,15,17,23,25,41,9
894,19,32,37,40,41,43,9
895,16,26,31,38,39,41,12
896,5,12,25,26,38,45,7
897,6,7,12,22,26,36,13
898,18,21,28,35,37,42,8
899,8,19,20,21,33,39,6
900,7,13,16,18,35,38,6
901,5,18,20,23,30,34,9
902,7,19,23,24,36,39,13
903,2,15,16,21,22,28,13
904,2,6,8,26,43,45,8
905,3,4,16,27,38,40,7
906,2,5,14,28,31,32,9
907,21,27,29,38,40,44,7
908,3,16,21,22,23,44,8
909,7,24,29,30,34,35,11
910,1,11,17,27,35,39,21
911,4,5,12,14,32,42,10
912,5,8,18,21,22,38,14
913,6,14,16,21,27,37,16
914,16,19,24,33,42,44,11
915,2,6,11,13,22,37,6
916,6,21,22,32,35,36,11
917,1,3,23,24,27,43,10
918,7,11,12,31,33,38,18
919,9,14,17,18,42,44,5
920,2,3,26,33,34,43,7
921,5,7,12,22,28,41,17
922,2,6,13,17,27,43,6
923,3,17,18,23,36,41,8
924,3,11,34,42,43,44,9
925,13,24,32,34,39,42,12
926,10,16,18,20,25,31,10
927,4,15,22,38,41,43,6
928,3,4,10,20,28,44,7
929,7,9,12,15,19,23,16
930,8,21,25,38,39,44,8
931,14,15,23,25,35,43,8
932,1,6,15,36,37,38,7
933,23,27,29,31,36,45,8
934,1,3,30,33,36,39,4
935,4,10,20,32,38,44,13
936,7,11,13,17,18,29,14
937,2,10,13,22,29,40,11
938,4,8,10,16,31,36,10
939,4,11,28,39,42,45,13
940,3,15,20,22,24,41,8
941,12,14,25,27,39,40,16
942,10,12,18,35,42,43,6
943,1,8,13,36,44,45,7
944,2,13,16,19,32,33,13
945,9,10,15,30,33,37,13
946,9,18,19,30,34,40,11
947,3,8,17,20,27,35,18
948,13,18,30,31,38,41,11
949,14,21,35,36,40,44,10
950,3,4,15,22,28,40,8
951,2,12,30,31,39,43,14
952,4,12,22,24,33,41,9
953,7,9,22,27,37,42,14
954,1,9,26,28,30,41,10
955,4,9,23,26,29,33,12
956,10,11,20,21,25,41,11
957,4,15,24,35,36,40,11
958,2,9,10,16,35,37,15
959,1,14,15,24,40,41,8
960,2,18,24,30,32,45,10
961,11,20,29,31,33,42,9
962,1,18,28,31,34,43,12
963,6,12,19,23,34,42,15
964,6,21,36,38,39,43,10
965,2,13,25,28,29,36,7
966,1,21,25,29,34,37,10
967,1,6,13,37,38,40,4
968,2,5,12,14,24,39,13
969,3,9,10,29,40,45,20
970,9,11,16,21,28,36,14
971,2,6,17,18,21,26,6
972,3,6,17,23,37,39,20
973,22,26,31,37,41,42,8
974,1,2,11,16,39,44,17
975,7,8,9,17,22,24,9
976,4,12,14,25,35,37,7
977,2,9,10,14,22,44,14
978,1,7,15,32,34,42,10
979,7,11,16,21,27,33,14
980,3,13,16,23,24,35,7
981,27,36,37,41,43,45,13
982,5,7,13,20,21,44,8
983,13,23,26,31,35,43,10
984,3,10,23,35,36,37,7
985,17,21,23,30,34,44,10
986,7,10,16,28,41,42,10
987,2,4,15,23,29,38,10
988,2,13,20,30,31,41,9
989,17,18,21,27,29,33,4
990,2,4,25,26,36,37,14
991,13,18,25,31,33,44,8
992,12,20,26,33,44,45,12
993,6,14,16,18,24,42,6
994,1,3,8,24,27,35,12
995,1,4,13,29,38,39,7
996,6,11,15,24,32,39,18
997,4,7,14,16,24,44,19
998,13,17,18,20,42,45,12
999,1,3,9,14,18,28,16
1000,2,8,19,22,32,42,22
1001,6,10,12,14,20,42,12
1002,17,25,33,35,38,45,8
1003,1,4,29,39,43,45,14
1004,7,15,30,37,39,44,10
1005,8,13,18,24,27,29,12
1006,8,11,15,16,17,37,9
1007,8,11,16,19,21,25,9
1008,9,11,30,31,41,44,11
1009,15,23,29,34,40,44,15
1010,9,12,15,25,34,36,8
1011,1,9,12,26,35,38,11
1012,5,11,18,20,35,45,13
1013,21,22,26,34,36,41,5
1014,3,11,14,18,26,27,10
1015,14,23,31,33,37,40,8
1016,15,26,28,34,41,42,11
1017,12,18,22,23,30,34,7
1018,3,19,21,25,37,45,2
1019,1,4,13,17,34,39,50
1020,12,27,29,38,41,45,13
1021,12,15,17,24,29,45,12
1022,5,6,11,29,42,45,5
1023,10,14,16,18,29,35,9
1024,9,18,20,22,38,44,8
1025,8,9,20,25,29,33,4
1026,5,12,13,31,32,41,15
1027,14,16,27,35,39,45,10
1028,5,7,12,13,18,35,20
1029,12,30,32,37,39,41,10
1030,2,5,11,17,24,29,19
1031,6,7,22,32,35,36,8
1032,1,6,12,19,36,42,10
1033,3,11,15,20,35,44,13
1034,26,31,32,33,38,40,9
1035,9,14,34,35,41,42,8
1036,2,5,22,32,34,45,9
1037,2,14,15,22,27,33,15
1038,7,16,24,27,37,44,15
1039,2,3,6,19,36,39,16
1040,8,16,26,29,31,36,7
1041,6,7,9,11,17,18,25
1042,5,14,15,23,34,43,20
1043,3,5,12,22,26,31,17
1044,12,17,20,26,28,36,8
1045,6,14,15,19,21,41,13
1046,7,16,25,29,35,36,12
1047,2,20,33,40,42,44,9
1048,6,12,17,21,32,39,17
1049,3,5,13,20,21,37,15
1050,6,12,31,35,38,43,17
1051,21,26,30,32,33,35,18
1052,5,17,26,27,35,38,11
1053,22,26,29,30,34,45,7
1054,14,19,27,28,30,45,9
1055,4,7,12,14,22,33,11
1056,13,20,24,32,36,45,14
1057,8,13,19,27,40,45,17
1058,11,23,25,30,32,40,13
1059,7,10,22,25,34,40,13
1060,3,10,24,33,38,45,28
1061,4,24,27,35,37,45,11
1062,20,31,32,40,41,45,7
1063,3,6,22,23,24,38,7
1064,3,6,9,18,22,35,19
1065,3,18,19,23,32,45,14
1066,6,11,16,19,21,32,15
1067,7,10,19,23,28,33,13
1068,4,7,19,26,33,35,19
1069,1,10,18,22,28,31,14
1070,3,6,14,22,30,41,14
1071,1,2,11,21,30,35,5
1072,16,18,20,23,32,43,12
1073,6,18,28,30,32,38,11
1074,1,6,20,27,28,41,12
1075,1,23,24,35,44,45,9
1076,3,7,9,33,36,37,9
1077,4,8,17,30,40,43,7
1078,6,10,11,14,36,38,12
1079,4,8,18,24,37,45,9
1080,13,16,23,31,36,44,7
1081,1,9,16,23,24,38,11
1082,21,26,27,32,34,42,7
1083,3,7,14,15,22,38,15
1084,8,12,13,29,33,42,15
1085,4,7,17,18,38,44,23
1086,11,16,25,27,35,36,17
1087,13,14,18,21,34,44,16
1088,11,21,22,30,39,44,11
1089,4,18,31,37,42,43,9
1090,12,19,21,29,40,45,11
1091,6,20,23,24,28,30,9
1092,7,18,19,26,33,45,16
1093,10,17,22,30,35,43,13
1094,6,7,15,22,26,40,12
1095,8,14,28,29,34,40,10
1096,1,12,16,19,23,43,10
1097,14,33,34,35,37,40,7
1098,12,16,21,24,41,43,13
1099,3,20,28,38,40,43,9
1100,17,26,29,30,31,43,13
1101,6,7,13,28,36,42,13
1102,13,14,22,26,37,38,20
1103,10,12,29,31,40,44,17
1104,1,7,21,30,35,38,15
1105,6,16,34,37,39,40,15
1106,1,3,4,29,42,45,11
1107,6,14,30,31,40,41,14
1108,7,19,26,37,39,44,14
1109,10,12,13,19,33,40,17
1110,3,7,11,20,22,41,16
1111,3,13,30,33,43,45,16
1112,16,20,26,36,42,44,10
1113,11,13,20,21,32,44,14
1114,10,16,19,32,33,38,17
1115,7,12,23,32,34,36,12
1116,15,16,17,25,30,31,10
1117,3,4,9,30,33,36,9
1118,11,13,14,15,16,45,19
1119,1,9,12,13,20,45,19
1120,2,19,26,31,38,41,11
1121,6,24,31,32,38,44,11
1122,3,6,21,30,34,35,11
1123,13,19,21,24,34,35,16
1124,3,8,17,30,33,34,10
1125,6,14,25,33,40,44,12
1126,4,5,9,11,37,40,11
1127,10,15,24,30,31,37,12
1128,1,5,8,16,28,33,63
1129,5,10,11,17,28,34,11
1130,15,19,21,25,27,28,12
1131,1,2,6,14,27,38,17
1132,6,7,19,28,34,41,11
1133,13,14,20,28,29,34,13
1134,3,7,9,13,19,24,14
1135,1,6,13,19,21,33,9
1136,21,33,35,38,42,44,12
1137,4,9,12,15,33,45,14
1138,14,16,19,20,29,34,14
1139,5,12,15,30,37,40,13
1140,7,10,22,29,31,38,12
1141,7,11,12,21,26,35,11
1142,2,8,28,30,37,41,9
1143,10,16,17,27,28,36,11
1144,3,4,12,15,26,34,18
1145,2,11,31,33,37,44,9
1146,6,11,17,19,40,43,11
1147,7,11,24,26,27,37,8
1148,3,6,13,15,16,22,13
1149,8,15,19,21,32,36,17
1150,8,9,18,35,39,45,17
1151,2,3,9,15,27,29,17
1152,30,31,32,35,36,37,35
1153,1,9,10,13,35,44,15
1154,4,8,22,26,32,38,15
1155,10,16,19,27,37,38,7
1156,30,31,34,39,41,45,21
1157,5,7,12,20,25,26,12
1158,21,25,27,32,37,38,21
1159,3,9,27,28,38,39,23
1160,7,13,18,36,39,45,12
1161,2,12,20,24,34,42,16
1162,20,21,22,25,28,29,36
1163,2,13,15,16,33,43,15
1164,17,18,23,25,38,39,13
1165,6,7,27,29,38,45,13
1166,14,23,25,27,29,42,14
1167,8,23,31,35,39,40,10
1168,9,21,24,30,33,37,13
1169,5,12,24,26,39,42,10
1170,3,13,28,34,38,42,20
1171,3,6,7,11,12,17,21
1172,7,9,24,40,42,44,13
1173,1,5,18,20,30,35,24
1174,8,11,14,17,36,39,15
1175,3,4,6,8,32,42,20
1176,7,9,11,21,30,35,13
1177,3,7,15,16,19,43,6
1178,5,6,11,27,43,44,12
1179,3,16,18,24,40,44,13
1180,6,12,18,37,40,41,11
1181,8,10,14,20,33,41,17
1182,1,13,21,25,28,31,13
1183,4,15,17,23,27,36,13
1184,14,16,23,25,31,37,15
1185,6,17,22,28,29,32,12
1186,2,8,13,16,23,28,14
1187,5,13,26,29,37,40,11
1188,3,4,12,19,22,27,24
1189,9,19,29,35,37,38,13
1190,7,9,19,23,26,45,6
1191,1,4,11,12,20,41,18
1192,10,16,23,36,39,40,29
1193,6,9,16,19,24,28,16
1194,3,13,15,24,33,37,28
1195,3,15,27,33,34,36,10
1196,8,12,15,29,40,45,15
1197,1,5,7,26,28,43,13
1198,26,30,33,38,39,41,10
1199,16,24,25,30,31,32,17
1200,1,2,4,16,20,32,12
1201,7,9,24,27,35,36,19
1202,5,12,21,33,37,40,14
1203,3,6,18,29,35,39,21
1204,8,16,28,30,31,44,18
1205,1,4,16,23,31,41,10
1206,1,3,17,26,27,42,15
1207,10,22,24,27,38,45,17
1208,6,27,30,36,38,42,6
1209,2,17,20,35,37,39,22
1210,1,7,9,17,27,38,24
1211,23,26,27,35,38,40,14
1212,5,8,25,31,41,44,12
1213,5,11,25,27,36,38,18
1214,10,15,19,27,30,33,12
1215,13,15,19,21,44,45,16
1216,3,10,14,15,23,24,14
1217,8,10,15,20,29,31,14
1218,3,28,31,32,42,45,18
1219,1,2,15,28,39,45,12
1220,2,22,25,28,34,43,14
1221,6,13,18,28,30,36,16
1222,4,11,17,22,32,41,24
1223,16,18,20,32,33,39,16
1224,9,18,21,27,44,45,12
1225,8,9,19,25,41,42,13
1226,4,6,13,17,26,28,10
1227,1,14,16,34,41,44,11
1228,24,29,30,31,35,44,11
1229,12,13,29,34,37,42,8
1230,3,8,9,22,28,42,16
1231,4,13,14,18,31,38,17
1232,12,15,19,22,24,36,11
1233,2,7,20,25,37,40,31
1234,1,15,19,31,35,43,18
1235,6,7,11,15,39,43,9
1236,12,18,21,29,34,38,11
1237,10,20,23,34,37,40,23
1238,2,13,18,32,38,42,23
