draw,main1,main2,main3,main4,main5,main6,winner_count_1st
658,8,19,25,28,32,36,9
659,7,18,19,27,29,42,11
660,4,9,23,33,39,44,10
661,2,3,12,20,27,38,8
662,5,6,9,11,15,37,8
663,3,5,8,19,38,42,7
664,10,20,33,36,41,44,10
665,5,6,11,17,38,44,4
666,2,4,6,11,17,28,6
667,15,17,25,37,42,43,7
668,12,14,15,24,27,32,5
669,7,8,20,29,33,38,6
670,11,18,26,27,40,41,12
671,7,9,10,13,31,35,4
672,8,21,28,31,36,45,9
673,7,10,17,29,33,44,10
674,9,10,14,25,27,31,8
675,1,8,11,15,18,45,4
676,1,8,17,34,39,45,8
677,12,15,24,36,41,44,8
678,4,5,6,12,25,37,6
679,3,5,7,14,26,34,5
680,4,10,19,29,32,42,14
681,21,24,27,29,43,44,6
682,17,23,27,35,38,43,4
683,6,13,20,27,28,40,16
684,1,11,15,17,25,39,9
685,6,7,12,28,38,40,11
686,7,12,15,24,25,43,8
687,1,8,10,13,28,42,6
688,5,15,22,23,34,35,9
689,7,17,19,30,36,38,7
690,24,25,33,34,38,39,15
691,15,27,33,35,43,45,6
692,3,11,14,15,32,36,7
693,1,6,11,28,34,42,10
694,7,15,20,25,33,43,10
695,4,18,26,33,34,38,11
696,1,7,16,18,34,38,10
697,2,5,8,11,33,39,10
698,3,11,13,21,33,37,8
699,4,5,8,16,21,29,8
700,11,23,28,29,30,44,8
701,3,10,14,16,36,38,10
702,3,13,16,24,26,29,11
703,10,28,31,33,41,44,5
704,1,4,8,23,33,42,4
705,1,6,17,22,28,45,4
706,3,4,6,10,28,30,4
707,2,12,19,24,39,44,12
708,2,10,16,19,34,45,4
709,10,18,30,36,39,44,14
710,3,4,9,24,25,33,5
711,11,15,24,35,37,45,7
712,17,20,30,31,33,45,4
713,2,5,15,18,19,23,9
714,1,7,22,33,37,40,7
715,2,7,27,33,41,44,6
716,2,6,13,16,29,30,12
717,2,11,19,25,28,32,6
718,4,11,20,23,32,39,17
719,4,8,13,19,20,43,9
720,1,12,29,34,36,37,14
721,1,28,35,41,43,44,8
722,12,14,21,30,39,43,4
723,20,30,33,35,36,44,8
724,2,8,33,35,37,41,12
725,6,7,19,21,41,43,11
726,1,11,21,23,34,44,14
727,7,8,10,19,21,31,14
728,3,6,10,30,34,37,5
729,11,17,21,26,36,45,4
730,4,10,14,15,18,22,8
731,2,7,13,25,42,45,7
732,2,4,5,17,27,32,7
733,11,24,32,33,35,40,4
734,6,16,37,38,41,45,9
735,5,10,13,27,37,41,10
736,2,11,17,18,21,27,5
737,13,15,18,24,27,41,4
738,23,27,28,38,42,43,11
739,7,22,29,33,34,35,4
740,4,8,9,16,17,19,18
741,5,21,27,34,44,45,6
742,8,10,13,36,37,40,16
743,15,19,21,34,41,44,7
744,10,15,18,21,34,41,15
745,1,2,3,9,12,23,20
746,3,12,33,36,42,45,9
747,7,9,12,14,23,28,9
748,3,10,13,22,31,32,9
749,12,14,24,26,34,45,13
750,1,2,15,19,24,36,7
751,3,4,16,20,28,44,8
752,4,16,20,33,40,43,9
753,2,17,19,24,37,41,6
754,2,8,17,24,29,31,5
755,13,14,26,28,30,36,8
756,10,14,16,18,27,28,5
757,6,7,11,17,33,44,21
758,5,9,12,30,39,43,8
759,9,33,36,40,42,43,6
760,10,22,27,31,42,43,8
761,4,7,11,24,42,45,7
762,1,3,12,21,26,41,10
763,3,8,16,32,34,43,8
764,7,22,24,31,34,36,7
765,1,3,8,12,42,43,15
766,9,30,34,35,39,41,8
767,5,15,20,31,34,42,15
768,7,27,29,30,38,44,13
769,5,7,11,16,41,45,9
770,1,9,12,23,39,43,8
771,6,10,17,18,21,29,4
772,5,6,11,14,21,41,10
773,8,12,19,21,31,35,11
774,12,15,18,28,34,42,11
775,11,12,29,33,38,42,5
776,8,9,18,21,28,40,7
777,6,12,17,21,34,37,21
778,6,21,35,36,37,41,3
779,6,12,19,24,34,41,11
780,15,17,19,21,27,45,11
781,11,16,18,19,24,39,9
782,6,18,31,34,38,45,9
783,14,15,16,17,38,45,4
784,3,10,23,24,31,39,9
785,4,6,15,25,26,33,6
786,12,15,16,20,24,30,4
787,5,6,13,16,27,28,6
788,2,10,11,19,35,39,13
789,2,6,7,12,19,45,15
790,3,8,19,27,30,41,16
791,2,10,12,31,33,42,14
792,2,7,19,25,29,36,7
793,10,15,21,35,38,43,5
794,6,7,18,19,30,38,7
795,3,10,13,26,34,38,11
796,1,21,26,36,40,41,7
797,5,22,31,32,39,45,8
798,2,10,14,22,32,36,7
799,12,17,23,34,42,45,10
800,1,4,10,12,28,45,11
801,17,25,28,37,43,44,8
802,10,11,12,18,24,42,16
803,5,9,14,26,30,43,5
804,1,10,13,26,32,36,11
805,3,12,13,18,31,32,4
806,14,20,23,31,37,38,7
807,6,10,18,25,34,35,7
808,15,21,31,32,41,43,6
809,6,11,15,17,23,40,6
810,5,10,13,21,39,43,8
811,8,11,19,21,36,45,7
812,1,3,12,14,16,43,6
813,11,30,34,35,42,44,4
814,2,21,28,38,42,45,6
815,17,21,25,26,27,36,7
816,12,18,19,29,31,39,8
817,3,9,12,13,25,43,9
818,14,15,25,28,29,30,13
819,16,25,33,38,40,45,7
820,10,21,22,30,35,42,4
821,1,12,13,24,29,44,14
822,9,18,20,24,27,36,3
823,12,18,24,26,39,40,9
824,7,9,24,29,34,38,15
825,8,15,21,31,33,38,12
826,13,16,24,25,33,36,9
827,5,11,12,29,33,44,15
828,4,7,13,29,31,39,13
829,4,5,31,35,43,45,8
830,5,6,16,18,37,38,9
831,3,10,16,19,31,39,16
832,13,14,19,26,40,43,9
833,12,18,30,39,41,42,8
834,6,8,18,35,42,43,11
835,9,10,13,28,38,45,15
836,1,9,11,14,26,28,14
837,2,25,28,30,33,45,6
838,9,14,17,33,36,38,5
839,3,9,11,12,13,19,13
840,2,4,11,28,29,43,10
841,5,11,14,30,33,38,17
842,14,26,32,36,39,42,10
843,19,21,30,33,34,42,5
844,7,8,13,15,33,45,18
845,1,16,29,33,40,45,11
846,5,18,30,41,43,45,13
847,12,16,26,28,30,42,8
848,1,2,16,22,38,39,7
849,5,13,17,29,34,39,17
850,16,20,24,28,36,39,6
851,14,18,22,26,31,44,8
852,11,17,28,30,33,35,4
853,2,8,23,26,27,44,7
854,20,25,31,32,36,43,6
855,8,15,17,19,43,44,9
856,10,24,40,41,43,44,5
857,6,10,16,28,34,38,15
858,9,13,32,38,39,43,9
859,8,22,35,38,39,41,11
860,4,8,18,25,27,32,10
861,11,17,19,21,22,25,4
862,10,34,38,40,42,43,9
863,16,21,28,35,39,43,7
864,3,7,10,13,25,36,11
865,3,15,22,32,33,45,13
866,9,15,29,34,37,39,9
867,14,17,19,22,24,40,5
