round,date,main_1,main_2,main_3,main_4,main_5,main_6,bonus,second_prize_games,sales_amount_krw,price_per_game_krw,sold_lines,main_birthday_count,bonus_birthday_indicator,second_prize_tickets_json,second_prize_birthday_counts_json,x2,z2,share2_index,source_file,source_file_sha256
29,20030621,1,5,13,34,39,40,11,17,74523120000,2000,37261560,3,1,"[[5,11,13,34,39,40],[1,11,13,34,39,40],[1,5,11,34,39,40],[1,5,11,13,39,40],[1,5,11,13,34,40],[1,5,11,13,34,39]]","[3,3,3,4,4,4]",3.5,-0.63333333333333375,0.61934256107366414,downloads/official-1-1237/raw/api-0121.json,5639f373cb78b28c1efa5037ac1d300920d602c0eeedfb1c6565ddff06c0cb81
30,20030628,8,17,20,35,36,44,4,22,72399690000,2000,36199845,3,1,"[[4,17,20,35,36,44],[4,8,20,35,36,44],[4,8,17,35,36,44],[4,8,17,20,36,44],[4,8,17,20,35,44],[4,8,17,20,35,36]]","[3,3,3,4,4,4]",3.5,-0.63333333333333375,0.82500960984777694,downloads/official-1-1237/raw/api-0121.json,5639f373cb78b28c1efa5037ac1d300920d602c0eeedfb1c6565ddff06c0cb81
31,20030705,7,9,18,23,28,35,32,29,71317306000,2000,35658653,5,0,"[[9,18,23,28,32,35],[7,18,23,28,32,35],[7,9,23,28,32,35],[7,9,18,28,32,35],[7,9,18,23,32,35],[7,9,18,23,28,32]]","[4,4,4,4,4,5]",4.166666666666667,0.033333333333333215,1.104017866294613,downloads/official-1-1237/raw/api-0121.json,5639f373cb78b28c1efa5037ac1d300920d602c0eeedfb1c6565ddff06c0cb81
32,20030712,6,14,19,25,34,44,11,49,71179198000,2000,35589599,4,1,"[[11,14,19,25,34,44],[6,11,19,25,34,44],[6,11,14,25,34,44],[6,11,14,19,34,44],[6,11,14,19,25,44],[6,11,14,19,25,34]]","[4,4,4,4,5,5]",4.333333333333333,0.19999999999999929,1.8690289261196789,downloads/official-1-1237/raw/api-0121.json,5639f373cb78b28c1efa5037ac1d300920d602c0eeedfb1c6565ddff06c0cb81
33,20030719,4,7,32,33,40,41,9,41,67457252000,2000,33728626,2,1,"[[7,9,32,33,40,41],[4,9,32,33,40,41],[4,7,9,33,40,41],[4,7,9,32,40,41],[4,7,9,32,33,41],[4,7,9,32,33,40]]","[2,2,3,3,3,3]",2.6666666666666665,-1.4666666666666672,1.6501683169661283,downloads/official-1-1237/raw/api-0121.json,5639f373cb78b28c1efa5037ac1d300920d602c0eeedfb1c6565ddff06c0cb81
34,20030726,9,26,35,37,40,42,2,45,69389894000,2000,34694947,2,1,"[[2,26,35,37,40,42],[2,9,35,37,40,42],[2,9,26,37,40,42],[2,9,26,35,40,42],[2,9,26,35,37,42],[2,9,26,35,37,40]]","[2,2,3,3,3,3]",2.6666666666666665,-1.4666666666666672,1.7607160489393456,downloads/official-1-1237/raw/api-0121.json,5639f373cb78b28c1efa5037ac1d300920d602c0eeedfb1c6565ddff06c0cb81
35,20030802,2,3,11,26,37,43,39,24,66143062000,2000,33071531,4,0,"[[3,11,26,37,39,43],[2,11,26,37,39,43],[2,3,26,37,39,43],[2,3,11,37,39,43],[2,3,11,26,39,43],[2,3,11,26,37,39]]","[3,3,3,3,4,4]",3.3333333333333335,-0.80000000000000027,0.98514459460615844,downloads/official-1-1237/raw/api-0121.json,5639f373cb78b28c1efa5037ac1d300920d602c0eeedfb1c6565ddff06c0cb81
36,20030809,1,10,23,26,28,40,31,19,66856686000,2000,33428343,5,1,"[[10,23,26,28,31,40],[1,23,26,28,31,40],[1,10,26,28,31,40],[1,10,23,28,31,40],[1,10,23,26,31,40],[1,10,23,26,28,31]]","[5,5,5,5,5,6]",5.166666666666667,1.0333333333333332,0.77158146905456848,downloads/official-1-1237/raw/api-0121.json,5639f373cb78b28c1efa5037ac1d300920d602c0eeedfb1c6565ddff06c0cb81
37,20030816,7,27,30,33,35,37,42,20,65509794000,2000,32754897,3,0,"[[27,30,33,35,37,42],[7,30,33,35,37,42],[7,27,33,35,37,42],[7,27,30,35,37,42],[7,27,30,33,37,42],[7,27,30,33,35,42]]","[2,2,2,3,3,3]",2.5,-1.6333333333333337,0.82888979928711115,downloads/official-1-1237/raw/api-0121.json,5639f373cb78b28c1efa5037ac1d300920d602c0eeedfb1c6565ddff06c0cb81
38,20030823,16,17,22,30,37,43,36,18,67369284000,2000,33684642,4,0,"[[17,22,30,36,37,43],[16,22,30,36,37,43],[16,17,30,36,37,43],[16,17,22,36,37,43],[16,17,22,30,36,43],[16,17,22,30,36,37]]","[3,3,3,3,4,4]",3.3333333333333335,-0.80000000000000027,0.72541011419981838,downloads/official-1-1237/raw/api-0120.json,80f6c459c8f251951c1d2fb82896f473f260bcd001eca89c45fd19a455c1935f
39,20030830,6,7,13,15,21,43,8,25,66094476000,2000,33047238,5,1,"[[7,8,13,15,21,43],[6,8,13,15,21,43],[6,7,8,15,21,43],[6,7,8,13,21,43],[6,7,8,13,15,43],[6,7,8,13,15,21]]","[5,5,5,5,5,6]",5.166666666666667,1.0333333333333332,1.0269466392319988,downloads/official-1-1237/raw/api-0120.json,80f6c459c8f251951c1d2fb82896f473f260bcd001eca89c45fd19a455c1935f
40,20030906,7,13,18,19,25,26,6,44,65699086000,2000,32849543,6,1,"[[6,13,18,19,25,26],[6,7,18,19,25,26],[6,7,13,19,25,26],[6,7,13,18,25,26],[6,7,13,18,19,26],[6,7,13,18,19,25]]","[6,6,6,6,6,6]",6,1.8666666666666663,1.8183035301282577,downloads/official-1-1237/raw/api-0120.json,80f6c459c8f251951c1d2fb82896f473f260bcd001eca89c45fd19a455c1935f
41,20030913,13,20,23,35,38,43,34,21,57624562000,2000,28812281,3,0,"[[20,23,34,35,38,43],[13,23,34,35,38,43],[13,20,34,35,38,43],[13,20,23,34,38,43],[13,20,23,34,35,43],[13,20,23,34,35,38]]","[2,2,2,3,3,3]",2.5,-1.6333333333333337,0.98942912572593611,downloads/official-1-1237/raw/api-0120.json,80f6c459c8f251951c1d2fb82896f473f260bcd001eca89c45fd19a455c1935f
42,20030920,17,18,19,21,23,32,1,35,119909740000,2000,59954870,5,1,"[[1,18,19,21,23,32],[1,17,19,21,23,32],[1,17,18,21,23,32],[1,17,18,19,23,32],[1,17,18,19,21,32],[1,17,18,19,21,23]]","[5,5,5,5,5,6]",5.166666666666667,1.0333333333333332,0.7924769080476699,downloads/official-1-1237/raw/api-0120.json,80f6c459c8f251951c1d2fb82896f473f260bcd001eca89c45fd19a455c1935f
43,20030927,6,31,35,38,39,44,1,21,74686296000,2000,37343148,2,1,"[[1,31,35,38,39,44],[1,6,35,38,39,44],[1,6,31,38,39,44],[1,6,31,35,39,44],[1,6,31,35,38,44],[1,6,31,35,38,39]]","[2,2,3,3,3,3]",2.6666666666666665,-1.4666666666666672,0.76339868293910307,downloads/official-1-1237/raw/api-0120.json,80f6c459c8f251951c1d2fb82896f473f260bcd001eca89c45fd19a455c1935f
44,20031004,3,11,21,30,38,45,39,23,69956950000,2000,34978475,4,0,"[[11,21,30,38,39,45],[3,21,30,38,39,45],[3,11,30,38,39,45],[3,11,21,38,39,45],[3,11,21,30,39,45],[3,11,21,30,38,39]]","[3,3,3,3,4,4]",3.3333333333333335,-0.80000000000000027,0.89262696558383403,downloads/official-1-1237/raw/api-0120.json,80f6c459c8f251951c1d2fb82896f473f260bcd001eca89c45fd19a455c1935f
