round,date,main_1,main_2,main_3,main_4,main_5,main_6,first_prize_games,sales_amount_krw,price_per_game_krw,sold_lines,birthday_count,relevant_sales_amount_audit_only
125,20050423,2,8,32,33,35,36,7,53149705000,1000,53149705,2,53149705000
126,20050430,7,20,22,27,40,43,9,52748965000,1000,52748965,4,52748965000
127,20050507,3,5,10,29,32,43,6,50752603000,1000,50752603,4,50752603000
128,20050514,12,30,34,36,37,45,6,52310392000,1000,52310392,2,52310392000
129,20050521,19,23,25,28,38,42,11,51555754000,1000,51555754,4,51555754000
130,20050528,7,19,24,27,42,45,4,51359012000,1000,51359012,4,51359012000
131,20050604,8,10,11,14,15,21,8,50231773000,1000,50231773,6,50231773000
132,20050611,3,17,23,34,41,45,4,49921897000,1000,49921897,3,49921897000
133,20050618,4,7,15,18,23,26,8,50889926000,1000,50889926,6,50889926000
134,20050625,3,12,20,23,31,35,5,50445575000,1000,50445575,5,50445575000
135,20050702,6,14,22,28,35,39,7,51062672000,1000,51062672,4,51062672000
136,20050709,2,16,30,36,41,42,6,51144633000,1000,51144633,3,51144633000
137,20050716,7,9,20,25,36,39,9,49978654000,1000,49978654,4,49978654000
138,20050723,10,11,27,28,37,39,5,47688450000,1000,47688450,4,47688450000
139,20050730,9,11,15,20,28,43,7,48371085000,1000,48371085,5,48371085000
140,20050806,3,13,17,18,19,28,5,45983464000,1000,45983464,6,45983464000
141,20050813,8,12,29,31,42,43,6,48016958000,1000,48016958,4,48016958000
142,20050820,12,16,30,34,40,44,11,48012844000,1000,48012844,3,48012844000
143,20050827,26,27,28,42,43,45,3,49415357000,1000,49415357,3,49415357000
144,20050903,4,15,17,26,36,37,8,49202521000,1000,49202521,4,49202521000
145,20050910,2,3,13,20,27,44,3,48913832000,1000,48913832,5,48913832000
146,20050917,2,19,27,35,41,42,2,50677555000,1000,50677555,3,50677555000
147,20050924,4,6,13,21,40,42,7,50345605000,1000,50345605,4,50345605000
148,20051001,21,25,33,34,35,36,5,49523247000,1000,49523247,2,49523247000
