round,number_input_count,number_pass_count,number_candidate_count,number_gate,trio_raw_candidate_count,trio_valid_count,trio_gate,pair_raw_candidate_count,pair_valid_count,pair_gate,core_raw_candidate_count,core_available_count,core_gate,pair_ready,pair_test_ready,pair_research_hold,pair_system_hold,official_stop_stage,official_output_available,root_cause_morphology,row_hash
570,45,0,12,PASS,220,37,PASS,217,0,PASS,217,0,FAIL,0,0,0,217,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,3d29de609f71912107ad19d7a526a127dae90fb8a5add4606ff3103cbf20af87
571,45,0,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,639b0792cc8312d6f41f4fa4e649ac386e62970697d13339c90d91b05ccb84d9
572,45,2,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,b56726c3df8831dbe7ebfa9c080d5544a84607b0a12e51f0f36ead78889715af
573,45,0,12,PASS,220,41,PASS,319,0,PASS,319,0,FAIL,0,0,0,319,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,b27aa840d071dd7ca07f944480b86f17212a86b479aad5e4dcdebc1f89a69608
574,45,0,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,2733e5f8f246c084e3d5cd36d35b7daa6c45a96b9559c47ee142a0f7c6ad41f7
575,45,0,12,PASS,220,2,PASS,0,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,PAIR_STAGE_STOP,False,PAIR_BOTTLENECK,083dc485382b2f85269b1d4adc96a298c5a3f5d481d67a258f6aef12617e819f
576,45,0,12,PASS,220,52,PASS,509,0,PASS,509,0,FAIL,0,0,0,509,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,758546a6c49ca0a298a097fc803b51f2ad454514830e2ae51948eb90e3ce2609
577,45,0,12,PASS,90,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,c5c431aca35690b17045b0cf9cde7b0f8171ba79451b8054cc69aa8173f2d4b9
578,45,0,12,PASS,210,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,90ea5d742f96d7efd86eb1020d641826fabc802f496c2ab2d3fc864a939c37d6
579,45,0,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,d0af6e4c3572827bc87e87ded6bce24ad3e5bf1d35c61c57d8ea009280c7b17d
580,45,0,12,PASS,220,76,PASS,1066,0,PASS,1066,0,FAIL,0,0,0,1066,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,28bd02e48799bbee6513de8930bfd3ad7fe1d292582d39c28403bf2e08e42191
581,45,0,9,PASS,84,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,9d509325957bd3e276d1b235ad737fbeed1b523c7efdbe20931ac487c2ae88f2
582,45,0,12,PASS,220,62,PASS,642,0,PASS,642,0,FAIL,0,0,0,642,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,705c67088beeaa1d45ce42fe191d0120582228fbf4ccf44a411b1c61655ba520
583,45,0,8,PASS,56,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,f35aea854407dde6aaf220b42b492b4eab34531edfdf7860da6411f12ca5c87e
584,45,2,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,af008a3525d8801e886b3d85ee3df8f2313458ece9777b6c65b499eb65d6dd23
585,45,0,12,PASS,220,23,PASS,56,0,PASS,56,0,FAIL,0,0,0,56,CORE_STAGE_STOP,False,IMPLEMENTATION_OR_DEFINITION_ANOMALY,911d011724a463288a6351fd7d065479115f6e113a1755eb698eab9cdd1253ec
586,45,0,8,PASS,56,12,PASS,0,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,PAIR_STAGE_STOP,False,PAIR_BOTTLENECK,e08110073d1bb471b3b54e23e27acff912204ee124942c38a24da2688b4305dc
587,45,3,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,6939023263b2187ddb8be4402f395c8946638a9161c3c345b5dcccd2f7990fda
588,45,0,12,PASS,220,0,FAIL,0,0,UPSTREAM_OBJECT_ABSENT,0,0,UPSTREAM_OBJECT_ABSENT,0,0,0,0,TRIO_STAGE_STOP,False,TRIO_BOTTLENECK,776dae747aea240d6763bbc4c848a4f83e3ab4d6241d09935b1461c83d15d6a7
