target_round,source_round,source_main6,pair_completions,vote_counts,candidate_count,candidates_ordered,source_member_candidate_count_r,source_target_intersection_c,research_A,research_B,leftovers,candidate_hit_count,A_exact_hit_count,B_exact_hit_count,future_leakage_flag
34,33,4 7 32 33 40 41,4-7>28;4-32>36;4-33>35;4-40>43;4-41>42;7-32>42;7-33>41;7-40>34;7-41>33;32-33>10;32-40>6;32-41>14;33-40>14;33-41>7;40-41>3,14:2 42:2 3:1 6:1 7:1 10:1 28:1 33:1 34:1 35:1 36:1 41:1 43:1,2,14 42,0,1,,,,1,,,0
35,34,9 26 35 37 40 42,9-26>13;9-35>43;9-37>41;9-40>38;9-42>36;26-35>29;26-37>18;26-40>24;26-42>28;35-37>6;35-40>15;35-42>1;37-40>1;37-42>2;40-42>11,1:2 2:1 6:1 11:1 13:1 15:1 18:1 24:1 28:1 29:1 36:1 38:1 41:1 43:1,1,1,0,2,,,,0,,,0
36,35,2 3 11 26 37 43,2-3>25;2-11>29;2-26>5;2-37>42;2-43>36;3-11>22;3-26>4;3-37>44;3-43>38;11-26>41;11-37>45;11-43>39;26-37>18;26-43>30;37-43>10,4:1 5:1 10:1 18:1 22:1 25:1 29:1 30:1 36:1 38:1 39:1 41:1 42:1 44:1 45:1,0,,0,1,,,,0,,,0
37,36,1 10 23 26 28 40,1-10>28;1-23>15;1-26>6;1-28>10;1-40>37;10-23>6;10-26>12;10-28>1;10-40>25;23-26>32;23-28>33;23-40>27;26-28>42;26-40>24;28-40>22,6:2 1:1 10:1 12:1 15:1 22:1 24:1 25:1 27:1 28:1 32:1 33:1 37:1 42:1,1,6,0,0,,,,0,,,0
38,37,7 27 30 33 35 37,7-27>2;7-30>8;7-33>41;7-35>39;7-37>22;27-30>36;27-33>24;27-35>28;27-37>17;30-33>21;30-35>25;30-37>29;33-35>4;33-37>5;35-37>6,2:1 4:1 5:1 6:1 8:1 17:1 21:1 22:1 24:1 25:1 28:1 29:1 36:1 39:1 41:1,0,,0,2,,,,0,,,0
39,38,16 17 22 30 37 43,16-17>39;16-22>34;16-30>38;16-37>28;16-43>25;17-22>42;17-30>31;17-37>27;17-43>24;22-30>41;22-37>7;22-43>19;30-37>29;30-43>26;37-43>10,7:1 10:1 19:1 24:1 25:1 26:1 27:1 28:1 29:1 31:1 34:1 38:1 39:1 41:1 42:1,0,,0,1,,,,0,,,0
40,39,6 7 13 15 21 43,6-7>29;6-13>17;6-15>18;6-21>36;6-43>44;7-13>25;7-15>26;7-21>5;7-43>31;13-15>29;13-21>14;13-43>28;15-21>12;15-43>32;21-43>20,29:2 5:1 12:1 14:1 17:1 18:1 20:1 25:1 26:1 28:1 31:1 32:1 36:1 44:1,1,29,0,2,,,,0,,,0
41,40,7 13 18 19 25 26,7-13>25;7-18>14;7-19>1;7-25>13;7-26>15;13-18>8;13-19>10;13-25>7;13-26>9;18-19>41;18-25>44;18-26>37;19-25>37;19-26>45;25-26>33,37:2 1:1 7:1 8:1 9:1 10:1 13:1 14:1 15:1 25:1 33:1 41:1 44:1 45:1,1,37,0,1,,,,0,,,0
42,41,13 20 23 35 38 43,13-20>12;13-23>3;13-35>36;13-38>33;13-43>28;20-23>44;20-35>5;20-38>26;20-43>21;23-35>17;23-38>8;23-43>18;35-38>14;35-43>9;38-43>3,3:2 5:1 8:1 9:1 12:1 14:1 17:1 18:1 21:1 26:1 28:1 33:1 36:1 44:1,1,3,0,1,,,,0,,,0
43,42,17 18 19 21 23 32,17-18>40;17-19>33;17-21>34;17-23>35;17-32>2;18-19>41;18-21>42;18-23>43;18-32>16;19-21>35;19-23>36;19-32>30;21-23>37;21-32>28;23-32>26,35:2 2:1 16:1 26:1 28:1 30:1 33:1 34:1 36:1 37:1 40:1 41:1 42:1 43:1,1,35,0,0,,,,1,,,0
44,43,6 31 35 38 39 44,6-31>41;6-35>37;6-38>34;6-39>33;6-44>43;31-35>3;31-38>12;31-39>5;31-44>15;35-38>14;35-39>7;35-44>2;38-39>1;38-44>11;39-44>4,1:1 2:1 3:1 4:1 5:1 7:1 11:1 12:1 14:1 15:1 33:1 34:1 37:1 41:1 43:1,0,,0,1,,,,0,,,0
45,44,3 11 21 30 38 45,3-11>22;3-21>9;3-30>12;3-38>43;3-45>36;11-21>1;11-30>4;11-38>44;11-45>37;21-30>33;21-38>25;21-45>24;30-38>16;30-45>15;38-45>4,4:2 1:1 9:1 12:1 15:1 16:1 22:1 24:1 25:1 33:1 36:1 37:1 43:1 44:1,1,4,0,0,,,,0,,,0
46,45,1 10 20 27 33 35,1-10>28;1-20>9;1-27>8;1-33>44;1-35>42;10-20>15;10-27>14;10-33>32;10-35>45;20-27>31;20-33>16;20-35>5;27-33>24;27-35>28;33-35>4,28:2 4:1 5:1 8:1 9:1 14:1 15:1 16:1 24:1 31:1 32:1 42:1 44:1 45:1,1,28,0,0,,,,0,,,0
47,46,8 13 15 23 31 38,8-13>18;8-15>19;8-23>38;8-31>45;8-38>23;13-15>29;13-23>3;13-31>40;13-38>33;15-23>1;15-31>44;15-38>37;23-31>24;23-38>8;31-38>12,1:1 3:1 8:1 12:1 18:1 19:1 23:1 24:1 29:1 33:1 37:1 38:1 40:1 44:1 45:1,0,,0,1,,,,0,,,0
48,47,14 17 26 31 36 45,14-17>5;14-26>8;14-31>42;14-36>37;14-45>43;17-26>44;17-31>30;17-36>25;17-45>28;26-31>21;26-36>16;26-45>19;31-36>11;31-45>8;36-45>3,8:2 3:1 5:1 11:1 16:1 19:1 21:1 25:1 28:1 30:1 37:1 42:1 43:1 44:1,1,8,0,1,,,,0,,,0
49,48,6 10 18 26 37 38,6-10>23;6-18>15;6-26>1;6-37>35;6-38>34;10-18>11;10-26>12;10-37>43;10-38>42;18-26>37;18-37>26;18-38>28;26-37>18;26-38>20;37-38>15,15:2 1:1 11:1 12:1 18:1 20:1 23:1 26:1 28:1 34:1 35:1 37:1 42:1 43:1,1,15,0,0,,,,0,,,0
50,49,4 7 16 19 33 40,4-7>28;4-16>13;4-19>34;4-33>35;4-40>43;7-16>10;7-19>1;7-33>41;7-40>34;16-19>40;16-33>20;16-40>19;19-33>17;19-40>16;33-40>14,34:2 1:1 10:1 13:1 14:1 16:1 17:1 19:1 20:1 28:1 35:1 40:1 41:1 43:1,1,34,0,0,,,,0,,,0
51,50,2 10 12 15 22 44,2-10>21;2-12>22;2-15>16;2-22>12;2-44>35;10-12>26;10-15>20;10-22>4;10-44>36;12-15>21;12-22>2;12-44>40;15-22>14;15-44>31;22-44>21,21:3 2:1 4:1 12:1 14:1 16:1 20:1 22:1 26:1 31:1 35:1 36:1 40:1,1,21,0,2,,,,0,,,0
52,51,2 3 11 16 26 44,2-3>25;2-11>29;2-16>15;2-26>5;2-44>35;3-11>22;3-16>14;3-26>4;3-44>37;11-16>6;11-26>41;11-44>38;16-26>36;16-44>27;26-44>17,4:1 5:1 6:1 14:1 15:1 17:1 22:1 25:1 27:1 29:1 35:1 36:1 37:1 38:1 41:1,0,,0,2,,,,0,,,0
53,52,2 4 15 16 20 29,2-4>18;2-15>16;2-16>15;2-20>8;2-29>11;4-15>17;4-16>13;4-20>6;4-29>9;15-16>2;15-20>10;15-29>13;16-20>33;16-29>45;20-29>32,13:2 2:1 6:1 8:1 9:1 10:1 11:1 15:1 16:1 17:1 18:1 32:1 33:1 45:1,1,13,0,0,,,,0,,,0
54,53,7 8 14 32 33 39,7-8>30;7-14>18;7-32>42;7-33>41;7-39>35;8-14>26;8-32>44;8-33>43;8-39>37;14-32>41;14-33>40;14-39>34;32-33>10;32-39>13;33-39>6,41:2 6:1 10:1 13:1 18:1 26:1 30:1 34:1 35:1 37:1 40:1 42:1 43:1 44:1,1,41,0,2,,,,0,,,0
55,54,1 8 21 27 36 39,1-8>27;1-21>11;1-27>8;1-36>41;1-39>38;8-21>4;8-27>1;8-36>40;8-39>37;21-27>39;21-36>6;21-39>27;27-36>30;27-39>21;36-39>15,27:2 1:1 4:1 6:1 8:1 11:1 15:1 21:1 30:1 37:1 38:1 39:1 40:1 41:1,1,27,1,1,,,,0,,,0
56,55,17 21 31 37 40 44,17-21>34;17-31>30;17-37>27;17-40>18;17-44>26;21-31>26;21-37>23;21-40>29;21-44>22;31-37>4;31-40>13;31-44>15;37-40>1;37-44>3;40-44>12,26:2 1:1 3:1 4:1 12:1 13:1 15:1 18:1 22:1 23:1 27:1 29:1 30:1 34:1,1,26,0,2,,,,0,,,0
57,56,10 14 30 31 33 37,10-14>27;10-30>5;10-31>34;10-33>32;10-37>43;14-30>1;14-31>42;14-33>40;14-37>36;30-31>17;30-33>21;30-37>29;31-33>2;31-37>4;33-37>5,5:2 1:1 2:1 4:1 17:1 21:1 27:1 29:1 32:1 34:1 36:1 40:1 42:1 43:1,1,5,0,1,,,,0,,,0
58,57,7 10 16 25 29 44,7-10>16;7-16>10;7-25>13;7-29>6;7-44>45;10-16>7;10-25>40;10-29>3;10-44>36;16-25>43;16-29>45;16-44>27;25-29>42;25-44>18;29-44>14,45:2 3:1 6:1 7:1 10:1 13:1 14:1 16:1 18:1 27:1 36:1 40:1 42:1 43:1,1,45,0,3,,,,0,,,0
59,58,10 24 25 33 40 44,10-24>8;10-25>40;10-33>32;10-40>25;10-44>36;24-25>32;24-33>27;24-40>26;24-44>19;25-33>26;25-40>10;25-44>18;33-40>14;33-44>1;40-44>12,26:2 32:2 1:1 8:1 10:1 12:1 14:1 18:1 19:1 25:1 27:1 36:1 40:1,2,26 32,0,0,,,,0,,,0
60,59,6 29 36 39 41 45,6-29>7;6-36>21;6-39>33;6-41>31;6-45>42;29-36>28;29-39>19;29-41>23;29-45>16;36-39>15;36-41>1;36-45>3;39-41>10;39-45>12;41-45>13,1:1 3:1 7:1 10:1 12:1 13:1 15:1 16:1 19:1 21:1 23:1 28:1 31:1 33:1 42:1,0,,0,2,,,,0,,,0
