round,date,k1,k2,k3,k4,k5,sales,price,sold_lines,source_file,source_sha256
115,20050212,9,34,1990,91627,1447287,59130557000,1000,59130557,api-0113.json,ebb5ae00ad4ece25d39982060a3204c3c3aae14a499c7166492359745f3296c8
116,20050219,7,56,1735,91897,1499198,61606084000,1000,61606084,api-0113.json,ebb5ae00ad4ece25d39982060a3204c3c3aae14a499c7166492359745f3296c8
117,20050226,9,50,1642,78361,1267826,59429610000,1000,59429610,api-0113.json,ebb5ae00ad4ece25d39982060a3204c3c3aae14a499c7166492359745f3296c8
118,20050305,10,41,1671,83233,1390561,57171934000,1000,57171934,api-0112.json,34d4dcc191b1a777069e58b4d76a87ca670eb0154a32ede1884f379de87aead1
119,20050312,9,49,1936,85327,1355365,57800632000,1000,57800632,api-0112.json,34d4dcc191b1a777069e58b4d76a87ca670eb0154a32ede1884f379de87aead1
120,20050319,3,31,1605,80400,1377368,57418983000,1000,57418983,api-0112.json,34d4dcc191b1a777069e58b4d76a87ca670eb0154a32ede1884f379de87aead1
121,20050326,2,31,1342,67464,1153689,57134544000,1000,57134544,api-0112.json,34d4dcc191b1a777069e58b4d76a87ca670eb0154a32ede1884f379de87aead1
122,20050402,9,38,1403,72518,1266949,56171704000,1000,56171704,api-0112.json,34d4dcc191b1a777069e58b4d76a87ca670eb0154a32ede1884f379de87aead1
123,20050409,5,38,1477,72742,1188107,54097448000,1000,54097448,api-0112.json,34d4dcc191b1a777069e58b4d76a87ca670eb0154a32ede1884f379de87aead1
124,20050416,9,37,1540,75040,1230275,54180838000,1000,54180838,api-0112.json,34d4dcc191b1a777069e58b4d76a87ca670eb0154a32ede1884f379de87aead1
125,20050423,7,36,1444,74261,1220272,53149705000,1000,53149705,api-0112.json,34d4dcc191b1a777069e58b4d76a87ca670eb0154a32ede1884f379de87aead1
126,20050430,9,35,1439,71370,1166992,52748965000,1000,52748965,api-0112.json,34d4dcc191b1a777069e58b4d76a87ca670eb0154a32ede1884f379de87aead1
